filename,Company Name,Sector,Ticker
BENEFIT.xlsx,Benefit Systems SA,rekreacja i wypoczynek - pozostałe,BFT
BERLING.xlsx,Berling SA,artykuły elektryczne,BRG
BETACOM.xlsx,Betacom SA,oprogramowanie,BCM
BIGCHEESE.xlsx,Big Cheese Studio SA,gry,BCS
BIOCELTIX.xlsx,Bioceltix SA,biotechnologia,BCX
BIOMAXIM.xlsx,BioMaxima SA,biotechnologia,BMX
BIOMED.xlsx,Biomed Lublin SA,produkcja leków,BML
BIOPLAN.xlsx,Bio Planet SA,artykuły codziennego użytku,BIP
BIOTON.xlsx,Bioton SA,produkcja leków,BIO
BMW.xlsx,BMW AG,,BMW
BOGDANKA.xlsx,LW Bogdanka SA,górnictwo węgla,LWB
BOOMBIT.xlsx,BoomBit SA,gry,BBT
BORYSZEW.xlsx,Boryszew SA,hutnictwo metali nieżelaznych,BRS
BOWIM.xlsx,Bowim SA,wyroby hutnicze,BOW
BRAND24.xlsx,Brand24 SA,oprogramowanie,B24
BRASTER.xlsx,Braster SA w restrukturyzacji,sprzęt i materiały medyczne,BRA
BUDIMEX.xlsx,Budimex SA,budownictwo ogólne,BDX
BUMECH.xlsx,Bumech SA,urządzenia mechaniczne,BMC
CAPTORTX.xlsx,Captor Therapeutics SA,biotechnologia,CTX
CCC.xlsx,CCC SA,odzież i obuwie,CCC
CDPROJEK.xlsx,CD Projekt SA,gry,CDR
CDRL.xlsx,CDRL SA,odzież i obuwie,CDL
CENNOWTE.xlsx,CNT SA,inżynieria lądowa i wodna,CNT
CEZ.xlsx,CEZ a.s.,energetyka,CEZ
CFIHOL.xlsx,CFI Holding SA,hotele i restauracje,CFI
CIECH.xlsx,Ciech SA,chemia podstawowa,CIE
CIGAMES.xlsx,CI Games SA,gry,CIG
CITYSERV.xlsx,City Service SE,usługi dla przedsiębiorstw,CTS
CLNPHARMA.xlsx,Celon Pharma SA,produkcja leków,CLN
COALENER.xlsx,Coal Energy SA,górnictwo węgla,CLE
COGNOR.xlsx,Cognor Holding SA,hutnictwo żelaza i stali,COG
COMARCH.xlsx,ComArch SA,systemy informatyczne,CMR
COMPERIA.xlsx,Comperia.pl SA,portale internetowe,CPL
COMPREMUM.xlsx,Compremum SA,materiały budowlane,CPR
COMP_W.xlsx,Comp SA,oprogramowanie,CMP
CORMAY.xlsx,PZ Cormay SA,produkcja leków,CRM
CREEPYJAR.xlsx,Creepy Jar SA,gry,CRJ
CREOTECH.xlsx,Creotech Instruments SA,nowe technologie,CRI
CYFPOLS.xlsx,Cyfrowy Polsat SA,telekomunikacja,CPS
DADELO.xlsx,Dadelo SA,handel internetowy,DAD
DATAWALK.xlsx,DataWalk SA,oprogramowanie,DAT
DEBICA.xlsx,Dębica SA,części samochodowe,DBC
DECORA.xlsx,Decora SA,materiały budowlane,DCR
DEKPOL.xlsx,Dekpol SA,budownictwo - pozostałe,DEK
DELKO.xlsx,Delko SA,artykuły spożywcze i szybkozbywalne,DEL
DIGITANET.xlsx,Digital Network SA,reklama i marketing,DIG
DIGITREE.xlsx,Digitree Group SA,oprogramowanie,DTR
DINOPL.xlsx,Dino Polska SA,artykuły codziennego użytku,DNP
DOMDEVEL.xlsx,Dom Development SA,sprzedaż nieruchomości,DOM
DREWEX.xlsx,Drewex SA w restrukturyzacji ,drewno,DRE
DROZAPOL.xlsx,Drozapol-Profil SA,wyroby hutnicze,DPL
EDINV.xlsx,ED Invest SA,sprzedaż nieruchomości,EDI
EFEKT.xlsx,Efekt SA,usługi dla przedsiębiorstw,EFK
